step,value,tag
600,150.0,rollout/ep_len_mean
1200,150.0,rollout/ep_len_mean
1800,150.0,rollout/ep_len_mean
2400,150.0,rollout/ep_len_mean
3000,150.0,rollout/ep_len_mean
3600,150.0,rollout/ep_len_mean
4200,150.0,rollout/ep_len_mean
4800,150.0,rollout/ep_len_mean
5400,150.0,rollout/ep_len_mean
6000,150.0,rollout/ep_len_mean
6600,150.0,rollout/ep_len_mean
7200,150.0,rollout/ep_len_mean
7800,150.0,rollout/ep_len_mean
8400,150.0,rollout/ep_len_mean
9000,150.0,rollout/ep_len_mean
9600,150.0,rollout/ep_len_mean
10200,150.0,rollout/ep_len_mean
10800,150.0,rollout/ep_len_mean
11400,150.0,rollout/ep_len_mean
12000,150.0,rollout/ep_len_mean
12600,150.0,rollout/ep_len_mean
13200,150.0,rollout/ep_len_mean
13800,150.0,rollout/ep_len_mean
14400,150.0,rollout/ep_len_mean
15000,150.0,rollout/ep_len_mean
15600,150.0,rollout/ep_len_mean
600,-464987968.0,rollout/ep_rew_mean
1200,-459809056.0,rollout/ep_rew_mean
1800,-480498784.0,rollout/ep_rew_mean
2400,-477861280.0,rollout/ep_rew_mean
3000,-455519808.0,rollout/ep_rew_mean
3600,-440509984.0,rollout/ep_rew_mean
4200,-431687488.0,rollout/ep_rew_mean
4800,-420003968.0,rollout/ep_rew_mean
5400,-413560768.0,rollout/ep_rew_mean
6000,-409847616.0,rollout/ep_rew_mean
6600,-403011392.0,rollout/ep_rew_mean
7200,-400219648.0,rollout/ep_rew_mean
7800,-397628864.0,rollout/ep_rew_mean
8400,-394626944.0,rollout/ep_rew_mean
9000,-394413600.0,rollout/ep_rew_mean
9600,-394191456.0,rollout/ep_rew_mean
10200,-394162944.0,rollout/ep_rew_mean
10800,-393450560.0,rollout/ep_rew_mean
11400,-393449568.0,rollout/ep_rew_mean
12000,-393154976.0,rollout/ep_rew_mean
12600,-393171744.0,rollout/ep_rew_mean
13200,-391937120.0,rollout/ep_rew_mean
13800,-392039520.0,rollout/ep_rew_mean
14400,-391576416.0,rollout/ep_rew_mean
15000,-392028896.0,rollout/ep_rew_mean
15600,-388122080.0,rollout/ep_rew_mean
600,1031.0,time/fps
1200,117.0,time/fps
1800,87.0,time/fps
2400,77.0,time/fps
3000,73.0,time/fps
3600,70.0,time/fps
4200,68.0,time/fps
4800,66.0,time/fps
5400,65.0,time/fps
6000,64.0,time/fps
6600,63.0,time/fps
7200,62.0,time/fps
7800,62.0,time/fps
8400,61.0,time/fps
9000,61.0,time/fps
9600,60.0,time/fps
10200,59.0,time/fps
10800,58.0,time/fps
11400,57.0,time/fps
12000,56.0,time/fps
12600,56.0,time/fps
13200,55.0,time/fps
13800,54.0,time/fps
14400,54.0,time/fps
15000,54.0,time/fps
15600,53.0,time/fps
1200,1072.287353515625,train/actor_loss
1800,86188.5,train/actor_loss
2400,418642.125,train/actor_loss
3000,1079728.75,train/actor_loss
3600,2064430.25,train/actor_loss
4200,3454852.75,train/actor_loss
4800,5237646.0,train/actor_loss
5400,7261973.0,train/actor_loss
6000,9773288.0,train/actor_loss
6600,12557690.0,train/actor_loss
7200,15823380.0,train/actor_loss
7800,19348004.0,train/actor_loss
8400,23135664.0,train/actor_loss
9000,27050556.0,train/actor_loss
9600,30948374.0,train/actor_loss
10200,35402336.0,train/actor_loss
10800,39599176.0,train/actor_loss
11400,44458992.0,train/actor_loss
12000,48254552.0,train/actor_loss
12600,52199492.0,train/actor_loss
13200,56291784.0,train/actor_loss
13800,60382232.0,train/actor_loss
14400,63307352.0,train/actor_loss
15000,67722000.0,train/actor_loss
15600,70596552.0,train/actor_loss
1200,23232639926272.0,train/critic_loss
1800,26126124580864.0,train/critic_loss
2400,19304009433088.0,train/critic_loss
3000,19184687775744.0,train/critic_loss
3600,22785539702784.0,train/critic_loss
4200,25592189681664.0,train/critic_loss
4800,18388904574976.0,train/critic_loss
5400,15425382383616.0,train/critic_loss
6000,15496942452736.0,train/critic_loss
6600,8724861157376.0,train/critic_loss
7200,17622716383232.0,train/critic_loss
7800,7988278984704.0,train/critic_loss
8400,15221057912832.0,train/critic_loss
9000,19542048768000.0,train/critic_loss
9600,9112947523584.0,train/critic_loss
10200,22192186195968.0,train/critic_loss
10800,12251755970560.0,train/critic_loss
11400,22777551650816.0,train/critic_loss
12000,47583699402752.0,train/critic_loss
12600,21186824110080.0,train/critic_loss
13200,42544041820160.0,train/critic_loss
13800,19693398130688.0,train/critic_loss
14400,19454360551424.0,train/critic_loss
15000,17024125239296.0,train/critic_loss
15600,21735153860608.0,train/critic_loss
1200,0.9463520050048828,train/ent_coef
1800,1.0611616373062134,train/ent_coef
2400,1.3406596183776855,train/ent_coef
3000,1.6930814981460571,train/ent_coef
3600,2.0704965591430664,train/ent_coef
4200,2.5263659954071045,train/ent_coef
4800,3.0464119911193848,train/ent_coef
5400,3.637542486190796,train/ent_coef
6000,4.354565620422363,train/ent_coef
6600,5.133081436157227,train/ent_coef
7200,6.172521114349365,train/ent_coef
7800,7.34681510925293,train/ent_coef
8400,8.524956703186035,train/ent_coef
9000,10.181095123291016,train/ent_coef
9600,11.821816444396973,train/ent_coef
10200,14.27315616607666,train/ent_coef
10800,17.268280029296875,train/ent_coef
11400,20.370037078857422,train/ent_coef
12000,23.16388511657715,train/ent_coef
12600,28.27031707763672,train/ent_coef
13200,33.57423400878906,train/ent_coef
13800,40.8323974609375,train/ent_coef
14400,49.255828857421875,train/ent_coef
15000,58.77802658081055,train/ent_coef
15600,68.68444061279297,train/ent_coef
1200,-0.15828931331634521,train/ent_coef_loss
1800,-0.2628745138645172,train/ent_coef_loss
2400,-2.079040288925171,train/ent_coef_loss
3000,-4.460396766662598,train/ent_coef_loss
3600,-7.254180908203125,train/ent_coef_loss
4200,-4.755516052246094,train/ent_coef_loss
4800,-9.319414138793945,train/ent_coef_loss
5400,-10.804092407226562,train/ent_coef_loss
6000,-12.934504508972168,train/ent_coef_loss
6600,-15.057748794555664,train/ent_coef_loss
7200,-14.720954895019531,train/ent_coef_loss
7800,-13.473739624023438,train/ent_coef_loss
8400,-5.765751361846924,train/ent_coef_loss
9000,-18.5568904876709,train/ent_coef_loss
9600,-16.148183822631836,train/ent_coef_loss
10200,-22.427501678466797,train/ent_coef_loss
10800,-20.683849334716797,train/ent_coef_loss
11400,-12.261627197265625,train/ent_coef_loss
12000,-25.279443740844727,train/ent_coef_loss
12600,-21.656246185302734,train/ent_coef_loss
13200,-26.99929428100586,train/ent_coef_loss
13800,-31.062458038330078,train/ent_coef_loss
14400,-30.685766220092773,train/ent_coef_loss
15000,-29.355072021484375,train/ent_coef_loss
15600,-21.851177215576172,train/ent_coef_loss
1200,0.0003000000142492354,train/learning_rate
1800,0.0003000000142492354,train/learning_rate
2400,0.0003000000142492354,train/learning_rate
3000,0.0003000000142492354,train/learning_rate
3600,0.0003000000142492354,train/learning_rate
