step,value,tag
1200,300.0,rollout/ep_len_mean
2400,300.0,rollout/ep_len_mean
3600,300.0,rollout/ep_len_mean
4800,300.0,rollout/ep_len_mean
6000,300.0,rollout/ep_len_mean
7200,300.0,rollout/ep_len_mean
8400,300.0,rollout/ep_len_mean
9600,300.0,rollout/ep_len_mean
10800,300.0,rollout/ep_len_mean
12000,300.0,rollout/ep_len_mean
13200,300.0,rollout/ep_len_mean
14400,300.0,rollout/ep_len_mean
15600,300.0,rollout/ep_len_mean
16800,300.0,rollout/ep_len_mean
18000,300.0,rollout/ep_len_mean
19200,300.0,rollout/ep_len_mean
20400,300.0,rollout/ep_len_mean
21600,300.0,rollout/ep_len_mean
22800,300.0,rollout/ep_len_mean
24000,300.0,rollout/ep_len_mean
25200,300.0,rollout/ep_len_mean
26400,300.0,rollout/ep_len_mean
1200,-950997632.0,rollout/ep_rew_mean
2400,-979794560.0,rollout/ep_rew_mean
3600,-900389504.0,rollout/ep_rew_mean
4800,-853456320.0,rollout/ep_rew_mean
6000,-829315392.0,rollout/ep_rew_mean
7200,-810712064.0,rollout/ep_rew_mean
8400,-794489216.0,rollout/ep_rew_mean
9600,-789587776.0,rollout/ep_rew_mean
10800,-787272000.0,rollout/ep_rew_mean
12000,-789547584.0,rollout/ep_rew_mean
13200,-787341632.0,rollout/ep_rew_mean
14400,-784077184.0,rollout/ep_rew_mean
15600,-782219648.0,rollout/ep_rew_mean
16800,-783628352.0,rollout/ep_rew_mean
18000,-779925184.0,rollout/ep_rew_mean
19200,-775154688.0,rollout/ep_rew_mean
20400,-772714944.0,rollout/ep_rew_mean
21600,-773431872.0,rollout/ep_rew_mean
22800,-772118400.0,rollout/ep_rew_mean
24000,-774169344.0,rollout/ep_rew_mean
25200,-772878400.0,rollout/ep_rew_mean
26400,-772351936.0,rollout/ep_rew_mean
1200,68.0,time/fps
2400,52.0,time/fps
3600,50.0,time/fps
4800,49.0,time/fps
6000,49.0,time/fps
7200,48.0,time/fps
8400,48.0,time/fps
9600,47.0,time/fps
10800,46.0,time/fps
12000,46.0,time/fps
13200,46.0,time/fps
14400,46.0,time/fps
15600,46.0,time/fps
16800,46.0,time/fps
18000,46.0,time/fps
19200,46.0,time/fps
20400,45.0,time/fps
21600,46.0,time/fps
22800,46.0,time/fps
24000,46.0,time/fps
25200,46.0,time/fps
26400,46.0,time/fps
1200,893.1570434570312,train/actor_loss
2400,369743.9375,train/actor_loss
3600,1867886.5,train/actor_loss
4800,4718931.5,train/actor_loss
6000,8896378.0,train/actor_loss
7200,14570336.0,train/actor_loss
8400,21482332.0,train/actor_loss
9600,29466620.0,train/actor_loss
10800,38223088.0,train/actor_loss
12000,47178240.0,train/actor_loss
13200,55484412.0,train/actor_loss
14400,64486596.0,train/actor_loss
15600,72510736.0,train/actor_loss
16800,80035200.0,train/actor_loss
18000,86681088.0,train/actor_loss
19200,92373248.0,train/actor_loss
20400,99344912.0,train/actor_loss
21600,105073384.0,train/actor_loss
22800,109839000.0,train/actor_loss
24000,114154816.0,train/actor_loss
25200,119528624.0,train/actor_loss
26400,123546112.0,train/actor_loss
1200,14372426481664.0,train/critic_loss
2400,19529673474048.0,train/critic_loss
3600,15223769530368.0,train/critic_loss
4800,17698293547008.0,train/critic_loss
6000,11246600454144.0,train/critic_loss
7200,11138391605248.0,train/critic_loss
8400,11383644094464.0,train/critic_loss
9600,17663235457024.0,train/critic_loss
10800,13960984133632.0,train/critic_loss
12000,34011833434112.0,train/critic_loss
13200,42407945043968.0,train/critic_loss
14400,79874161115136.0,train/critic_loss
